note_intro,datenschutz
15.7481499999994,4.13144999998622
19.612178,10.164369
26.85,4.71
18.8819999998668,7.43900000001304
37.81,8.07
11.41,6.4
28.8997000000381,3.20914999996603
60.3278000000864,8.4051000000909
10.07,5.82
6.59,4.99
39.04,3.11
15.0740000000224,6.0730000003241
7.93,5.3
20.9349999998813,30.5809999999474
19.7852499969304,3.95090000703931
15.113,29.062
11.45,4.92
173.15,16.62
32.3082299999805,8.6511800000153
9.72,12.75
26.1799999998766,24.8199999998906
7.21,5.5
21.19,35.76
13.4790000000066,4.00599999999031
